Trait	meanDist	stdDevDist
Block_G50-G59	0.17455678275137237	0.05675861274801522
Block_E00-E07	0.17424145130196003	0.05428234094587668
Block_M91-M94	0.1672101141226412	0.05582858863085443
Block_M80-M85	0.17548804150687325	0.050515778846653606
Block_C43-C44	0.1693853729903096	0.05889264281548413
Block_M15-M19	0.17156030915000223	0.06114080941299066
Block_N30-N39	0.16782924442580252	0.05729815045191701
Block_M65-M68	0.1663335326946143	0.053084386656088105
Block_D70-D77	0.1728662776224541	0.059449650952598014
Block_B95-B98	0.16840793809505425	0.05468875794359975
Block_K00-K14	0.17392321969523575	0.06248623652445815
Block_K80-K87	0.17102415633924078	0.053895769128999856
Block_C64-C68	0.17781407122660164	0.05942468531568638
Block_K90-K93	0.17553327420745232	0.0648363423247148
Block_J80-J84	0.1655546733827302	0.05279149796202983
Block_F20-F29	0.16888808842861291	0.054116815777449
Block_F30-F39	0.163886253279869	0.04967887437641736
Block_J90-J94	0.17340184161157318	0.05990342663143704
Block_F40-F48	0.17249435969073362	0.06044534714648514
Block_E65-E68	0.17723217154994156	0.05515163553299475
Block_G35-G37	0.16942555434776074	0.05497037334147454
Block_J95-J99	0.16625957717799178	0.05847687184808387
Block_E10-E14	0.166013139666933	0.05650825566059259
Block_B35-B49	0.16075714790459836	0.05513745495410109
Block_C81-C96	0.17288236666207363	0.05050357657473058
Block_M60-M63	0.16487202861092307	0.055536164046465504
Block_K70-K77	0.16504393382505936	0.055803440513807076
Block_M95-M99	0.1634879636042046	0.05490539829831503
Block_D60-D64	0.17707915137512514	0.054339485243690124
Block_L60-L75	0.16650552581054995	0.06031492362265751
Block_C15-C26	0.1702058230987703	0.05048635509395483
Block_D65-D69	0.17116547353339917	0.05281576359457503
Block_I70-I79	0.17078152810684358	0.060157438291967506
Block_L20-L30	0.1696389594463387	0.05029292905849839
Block_L50-L54	0.17289547486738724	0.06666689699102657
Block_D37-D48	0.17208126157221168	0.05967783760491298
Block_M40-M43	0.1741196314493815	0.05172465328928774
Block_L55-L59	0.16824454189550997	0.05471015927718418
Block_A30-A49	0.17033283457611548	0.052751269164651025
Block_K20-K31	0.17226887050301137	0.0547347365944276
Block_E20-E35	0.16454061173429393	0.05677915681523464
Block_D50-D53	0.16000281199060304	0.04911053258095298
Block_M20-M25	0.1722866128189395	0.059959805276958794
Block_H65-H75	0.1678170772513958	0.059857923453209616
Block_M50-M54	0.1786891029338644	0.05656303757475337
Block_F10-F19	0.17552079937674783	0.05588383216067576
Block_K55-K64	0.17806809719162758	0.059995180330117436
Block_N00-N08	0.16790260208977592	0.055764228211057816
Block_F00-F09	0.17308171289135713	0.057754051280769214
Block_M45-M49	0.17594861261772388	0.058216953844856444
Block_G90-G99	0.1666934725010034	0.053554930988775944
Block_I80-I89	0.17238917675885287	0.05947270625299389
Block_J20-J22	0.17426804159626816	0.06809514137847068
Block_J40-J47	0.17503078718378087	0.05990288446330922
Block_K35-K38	0.17461149379460497	0.0489295763527679
Block_K50-K52	0.17184876853769476	0.056143822471056724
Block_K40-K46	0.17391628087168992	0.054194098082098574
Block_L40-L45	0.17018811389653368	0.05576303181809304
Block_I60-I69	0.17272650593459005	0.05577473491799688
Block_A00-A09	0.16199752056237424	0.05737464894181673
Block_I30-I52	0.16504873290206445	0.054901976437374995
Block_I10-I15	0.17394722471333512	0.05428514187289608
Block_H53-H54	0.1706917081216369	0.057363730408479384
Block_J30-J39	0.17751211530030375	0.05951345662495397
Block_G80-G83	0.16035281648539534	0.05532071537817844
Block_N10-N16	0.1719624755358455	0.05559742738573079
Block_I26-I28	0.16352585951487222	0.05146228388399242
Block_E50-E64	0.1662923934483769	0.051425675550438144
Block_I95-I99	0.17057372945727725	0.05796559087794818
Block_H80-H83	0.18064168727759158	0.06141176663319189
Block_C30-C39	0.18323695539224027	0.06498957798595584
Block_M86-M90	0.16819177914147426	0.05788027791914329
Block_H60-H62	0.17539735875948512	0.055476143577430616
Block_H10-H13	0.16387807660632664	0.05942169918962323
Block_H15-H22	0.17700557516078758	0.05869669794462706
Block_I05-I09	0.1772601640585697	0.058277649024271
Block_H43-H45	0.1733677616023054	0.0628746006301413
Block_H00-H06	0.17374505418719668	0.05734200028579995
Block_B25-B34	0.17853126020142526	0.061905549507844534
Block_G60-G64	0.17308717123185746	0.057527981040526574
Block_I20-I25	0.1761329493137321	0.05490780555090638
Block_L00-L08	0.17764351584694602	0.05944566261004808
Block_H40-H42	0.17096406040769635	0.059150092584157044
Block_G40-G47	0.17700507664921308	0.05841868041169844
Block_L80-L99	0.16712185469540683	0.06132051086080569
Block_H25-H28	0.17532199380373714	0.06887466054714615
Block_H55-H59	0.1760705944263574	0.05830557096734846
Block_N25-N29	0.18609803192543262	0.07126121055139918
Block_M70-M79	0.18514729208416408	0.06402196022490096
Block_D80-D89	0.17853490270749486	0.05538821118595412
Block_H49-H52	0.18537873812396116	0.05597284272905924
Block_J09-J18	0.1806984892999283	0.06159644097174561
Block_G20-G26	0.1927642503170052	0.06011464304664952
Block_G30-G32	0.1735026372803582	0.06358421958427661
Block_M05-M14	0.1818537995068714	0.06295231766145724
Block_N17-N19	0.17305771268979467	0.06242632965213988
Block_E70-E90	0.17662108907795915	0.055852673598096016
Block_D00-D09	0.17285226872473053	0.06160297920754208
Block_B00-B09	0.17469459170042867	0.06956065331052307
Block_H30-H36	0.160087996661061	0.05719866635728309
Block_K65-K67	0.1573419908080438	0.04847653642532853
Block_N20-N23	0.15815486510594687	0.05245342575886102
